,Date,Count,Date,Count
1,4/1/2018,213,6/1/2015,0
2,4/2/2018,257,6/2/2015,0
3,4/3/2018,240,6/3/2015,0
4,4/4/2018,249,6/4/2015,0
5,4/5/2018,258,6/5/2015,0
6,4/6/2018,211,6/6/2015,0
7,4/7/2018,253,6/7/2015,0
8,4/8/2018,208,6/8/2015,0
9,4/9/2018,237,6/9/2015,0
10,4/10/2018,243,6/10/2015,0
11,4/11/2018,260,6/11/2015,0
12,4/12/2018,266,6/12/2015,0
13,4/13/2018,250,6/13/2015,0
14,4/14/2018,257,6/14/2015,0
15,4/15/2018,194,6/15/2015,229
16,4/16/2018,179,6/16/2015,236
17,4/17/2018,240,6/17/2015,221
18,4/18/2018,244,6/18/2015,283
19,4/19/2018,229,6/19/2015,262
20,4/20/2018,263,6/20/2015,238
21,4/21/2018,235,6/21/2015,173
22,4/22/2018,203,6/22/2015,249
23,4/23/2018,209,6/23/2015,255
24,4/24/2018,233,6/24/2015,265
25,4/25/2018,238,6/25/2015,281
26,4/26/2018,229,6/26/2015,256
27,4/27/2018,242,6/27/2015,293
28,4/28/2018,217,6/28/2015,225
29,4/29/2018,179,6/29/2015,231
30,4/30/2018,169,6/30/2015,247
